"formula_id","paper_anchor","formula_plaintext","implementation","test_file","test_function","validation_scope","status"
"inverse_coupling_flow","formula:inverse_coupling_flow","alpha_i^{-1}(E) = alpha_i^{-1}(M_Z) + b_i/(2pi) ln(E/M_Z) + sum alpha^n F_n^i(E)","core.formulas.recursive_inverse_coupling; core.field.UnifiedField.compute_running_coupling","code/tests/test_formula_registry.py","test_formula_module_matches_paper_mathematics","bounded_proxy","internally_validated"
"gut_predictions","formula:gut_predictions","M_GUT, alpha_GUT, tau_p, Gamma_p->e+pi0","core.formulas.gut_prediction_values; core.field.UnifiedField._compute_theoretical_predictions; core.field.UnifiedField.compute_proton_decay_rate","code/tests/test_formula_registry.py","test_formula_module_matches_paper_mathematics","reference_value_proxy","internally_validated"
"coupling_spread","formula:coupling_spread","max(g_1,g_2,g_3)-min(g_1,g_2,g_3)<10^-3","core.formulas.coupling_spread; core.field.UnifiedField.compute_couplings","code/tests/test_formula_registry.py","test_formula_module_matches_paper_mathematics","bounded_proxy","internally_validated"
"mass_product","formula:mass_product","m_f = m_0 product(1+alpha^k h_f(k))","core.formulas.mass_product; core.field.UnifiedField.compute_mass_at_level; core.field.UnifiedField.compute_fermion_masses","code/tests/test_formula_registry.py","test_formula_module_matches_paper_mathematics","bounded_proxy","internally_validated"
"fermion_ordering","formula:fermion_ordering","m_t > m_c > m_u and m_tau > m_mu > m_e","core.field.UnifiedField.compute_fermion_masses","code/tests/test_formula_registry.py","test_formula_module_matches_paper_mathematics","reference_value_proxy","internally_validated"
"cp_phase","formula:cp_phase","alpha_k = |alpha_k| e^{i theta_k}, theta_k = 2pi k/N + delta_k","core.formulas.cp_phase","code/tests/test_formula_registry.py","test_formula_module_matches_paper_mathematics","internal_formula_proxy","internally_validated"
"jarlskog_baryon","formula:jarlskog_baryon","J ~= 3.2e-5 and eta_B ~= 6.1e-10","core.formulas.jarlskog_baryon_values; core.field.UnifiedField.compute_jarlskog; core.field.UnifiedField.compute_baryon_asymmetry","code/tests/test_formula_registry.py","test_formula_module_matches_paper_mathematics","reference_value_proxy","internally_validated"
"sakharov_conditions","formula:sakharov_conditions","B-violation, C/CP-violation, out-of-equilibrium evolution","core.formulas.sakharov_conditions; core.field.UnifiedField.check_sakharov_conditions","code/tests/test_formula_registry.py","test_formula_module_matches_paper_mathematics","bounded_proxy","internally_validated"
"dark_matter_density","formula:dark_matter_density","rho_DM(r) proportional to r^-2 product(1+alpha^k f_k(r))","core.formulas.dark_matter_density; core.field.UnifiedField.compute_dark_matter_density","code/tests/test_formula_registry.py","test_formula_module_matches_paper_mathematics","bounded_proxy","internally_validated"
"dark_matter_coupling","formula:dark_matter_coupling","g_DM(level) = alpha^level g_SM","core.formulas.dark_matter_coupling; core.field.UnifiedField.compute_dark_matter_coupling","code/tests/test_formula_registry.py","test_formula_module_matches_paper_mathematics","bounded_proxy","internally_validated"
"dark_energy_density","formula:dark_energy_density","rho_Lambda ~= (2.3e-3 eV)^4","core.formulas.dark_energy_density; core.field.UnifiedField.compute_dark_energy_density","code/tests/test_formula_registry.py","test_formula_module_matches_paper_mathematics","reference_value_proxy","internally_validated"
"measurement_update","formula:measurement_update","rho(t) = rho_0 + sum alpha^n D_n(t)[rho_0]","core.formulas.measurement_update","code/tests/test_formula_registry.py","test_formula_module_matches_paper_mathematics","bounded_proxy","internally_validated"
"measurement_checks","formula:measurement_checks","sum_i p_i=1, Tr(rho)=1, tau_collapse < tau_0","core.formulas.normalized_probabilities; core.field.UnifiedField.compute_decoherence_trace; core.field.UnifiedField.compute_collapse_time","code/tests/test_formula_registry.py","test_formula_module_matches_paper_mathematics","internal_formula_proxy","internally_validated"
"gravitational_action","formula:gravitational_action","S_G^(n) = 1/(16pi G_n) integral d^4x sqrt(-g_n) R_n + sum alpha^k C_k(R_n)","core.formulas.gravitational_action_proxy; core.field.UnifiedField.compute_gravitational_action","code/tests/test_formula_registry.py","test_formula_module_matches_paper_mathematics","bounded_proxy","internally_validated"
"newton_uv_products","formula:newton_uv_products","G_n and Lambda_UV,n equal base product(1+alpha^k)^-1","core.formulas.recursive_product; core.field.UnifiedField.compute_newton_constant; core.field.UnifiedField.compute_uv_cutoff","code/tests/test_formula_registry.py","test_formula_module_matches_paper_mathematics","bounded_proxy","internally_validated"
"bounded_newton_uv","formula:bounded_newton_uv","G_2 < G and Lambda_UV,2 < Lambda_UV,0","core.formulas.recursive_product; core.field.UnifiedField.compute_newton_constant; core.field.UnifiedField.compute_uv_cutoff","code/tests/test_formula_registry.py","test_formula_module_matches_paper_mathematics","bounded_proxy","internally_validated"
"information_content","formula:information_content","I(F) = - sum alpha^n ln(alpha^n)","core.formulas.information_content; core.field.UnifiedField.compute_information_content","code/tests/test_formula_registry.py","test_formula_module_matches_paper_mathematics","internal_formula_proxy","internally_validated"
"framework_dimension","formula:framework_dimension","dim(F) = 4 + sum alpha^n > 4","core.formulas.framework_dimension; core.field.UnifiedField.compute_framework_dimension","code/tests/test_formula_registry.py","test_formula_module_matches_paper_mathematics","internal_formula_proxy","internally_validated"
"gw_spectrum","formula:gw_spectrum","Omega_GW(f) = Omega0 (f/f0)^n product(1+alpha^k h(k,f))","core.formulas.gw_spectrum; core.field.UnifiedField.compute_gravitational_wave_spectrum","code/tests/test_formula_registry.py","test_formula_module_matches_paper_mathematics","bounded_proxy","internally_validated"
"gw_power_law_ratio","formula:gw_power_law_ratio","Omega_GW(f2)/Omega_GW(f1) = (f2/f1)^(2/3)","core.formulas.gw_power_law_ratio; core.field.UnifiedField.compute_gravitational_wave_spectrum","code/tests/test_formula_registry.py","test_formula_module_matches_paper_mathematics","bounded_proxy","internally_validated"
"low_energy_values","formula:low_energy_values","Delta r_W, B(B_s->mu+mu-), sin^2 theta_13","core.formulas.low_energy_signature_values; core.field.UnifiedField.compute_low_energy_signatures","code/tests/test_formula_registry.py","test_formula_module_matches_paper_mathematics","reference_value_proxy","internally_validated"
"conclusion_compact_core","formula:conclusion_compact_core","Compact five-equation core framework","core.formulas.architecture_terms; core.formulas.fractal_self_similarity; core.self_replication.generative_operator","code/tests/test_formula_registry.py","test_formula_module_matches_paper_mathematics","documentation_integrity","internally_validated"
"appendix_coupling_convergence","formula:appendix_coupling_convergence","sum alpha^n F_n^i(lambda) converges absolutely for 0<alpha<1","core.formulas.convergence_tail_bound; core.formulas.recursive_coupling","code/tests/test_formula_registry.py","test_formula_module_matches_paper_mathematics","bounded_proxy","internally_validated"
"appendix_convergence_bound","formula:appendix_convergence_bound","sum |alpha^n F_n^i(lambda)| <= M_i alpha/(1-alpha)","core.formulas.convergence_tail_bound","code/tests/test_formula_registry.py","test_formula_module_matches_paper_mathematics","bounded_proxy","internally_validated"
